merged_id,title,abstract,user_input,fields,Art,Biology,Business,Chemistry,Computer science,Economics,Engineering,Environmental science,Geography,Geology,History,Materials science,Mathematics,Medicine,Philosophy,Physics,Political science,Psychology,Sociology
carticle_0000800584,Scatter and crosstalk corrections for (99m)Tc/(123)I dual-radionuclide imaging using a CZT SPECT system with pinhole collimators,"Purpose: The energy spectrum for a cadmium zinc telluride (CZT) detector has a low energy tail due to incomplete charge collection and intercrystal scattering. Due to these solid-state detector effects, scatter would be overestimated if the conventional triple-energy window (TEW) method is used for scatter and crosstalk corrections in CZT-based imaging systems. The objective of this work is to develop a scatter and crosstalk correction method for Tc-99m/I-123 dual-radionuclide imaging for a CZT-based dedicated cardiac SPECT system with pinhole collimators (GE Discovery NM 530c/570c).
Methods: A tailing model was developed to account for the low energy tail effects of the CZT detector. The parameters of the model were obtained using Tc-99m and I-123 point source measurements. A scatter model was defined to characterize the relationship between down-scatter and self-scatter projections. The parameters for this model were obtained from Monte Carlo simulation using SIMIND. The tailing and scatter models were further incorporated into a projection count model, and the primary and self-scatter projections of each radionuclide were determined with a maximum likelihood expectation maximization (MLEM) iterative estimation approach. The extracted scatter and crosstalk projections were then incorporated into MLEM image reconstruction as an additive term in forward projection to obtain scatter-and crosstalk-corrected images. The proposed method was validated using Monte Carlo simulation, line source experiment, anthropomorphic torso phantom studies, and patient studies. The performance of the proposed method was also compared to that obtained with the conventional TEW method.
Results: Monte Carlo simulations and line source experiment demonstrated that the TEW method overestimated scatter while their proposed method provided more accurate scatter estimation by considering the low energy tail effect. In the phantom study, improved defect contrasts were observed with both correction methods compared to no correction, especially for the images of 99mTc in dual-radionuclide imaging where there is heavy contamination from 123I. In this case, the nontransmural defect contrast was improved from 0.39 to 0.47 with the TEW method and to 0.51 with their proposed method and the transmural defect contrast was improved from 0.62 to 0.74 with the TEW method and to 0.73 with their proposed method. In the patient study, the proposed method provided higher myocardium-to-blood pool contrast than that of the TEW method. Similar to the phantom experiment, the improvement was the most substantial for the images of Tc-99m in dual-radionuclide imaging. In this case, the myocardium-to-blood pool ratio was improved from 7.0 to 38.3 with the TEW method and to 63.6 with their proposed method. Compared to the TEW method, the proposed method also provided higher count levels in the reconstructed images in both phantom and patient studies, indicating reduced overestimation of scatter. Using the proposed method, consistent reconstruction results were obtained for both single-radionuclide data with scatter correction and dual-radionuclide data with scatter and crosstalk corrections, in both phantom and human studies.
Conclusions: The authors demonstrate that the TEW method leads to overestimation in scatter and crosstalk for the CZT-based imaging system while the proposed scatter and crosstalk correction method can provide more accurate self-scatter and down-scatter estimations for quantitative single-radionuclide and dual-radionuclide imaging. (C) 2015 American Association of Physicists in Medicine.",,"['Medicine', 'Engineering']",False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
carticle_0001126499,Effects of hydrochlorothiazide and amlodipine on single oral dose pharmacokinetics of valsartan in healthy Korean subjects: Population model-based approach,"Fixed dose combination (FDC) of valsartan (VAL) and hydrochlorothiazide (HCT) or VAL and amlodipine (AML) has been available in many countries for the treatment of hypertension. Due to drug-drug interaction potentials, in the current study we aimed to evaluate potent effects of HCT and AML on pharmacokinetics (PKs) of VAL when they are orally co-administered as FDC (VAL/HCT at 80/12.5 mg or 160/12.5 mg; and VAL/AML at 160/5 mg or 160/10 mg) products in healthy Korean subjects. Population pharmacokinetic (PK) modeling and analysis were performed by the nonlinear mixed-effects modeling software. PKs of VAL was described by two-compartment disposition model, first-order elimination, four-sequential first-order absorption model, correlation between apparent clearances and volumes of distribution, and lag time. For all FDCs, there were no statistically significant differences in both maximum concentration and areas under the concentration-time curves (AUCs) of VAL in comparison to those when administered VAL alone, except the combination of VAL/AML at 160/10 mg, where AUC<sub>0-∞</sub> increased by 11.8% in mean and 6.86% in median. In addition, there was an increasing trend in time to reach peak (T<sub>max</sub>) of VAL in FDCs, where it was increased by 0.22-0.34 h in mean and 0.40-0.44 h in median, except the combination of VAL/HCT at 160/12.5 mg. However, these differences in AUC<sub>0-∞</sub> and T<sub>max</sub> might not be considered as clinically important. In conclusion, HCT or AML has no potent effect on PKs of VAL when they are co-administered as FDC products. No dose adjustment for VAL is recommended when co-administered with HCT or AML.",Should medicine always be bio? Think not...,['Medicine'],False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
carticle_0001808851,Polysynchronous Stochastic Circuits,"Clock distribution networks (CDNs) are costly in high-performance ASICs. This paper proposes a new approach: splitting clock domains at a very fine level, down to the level of a handful of gates. Each domain is synchronized with an inexpensive clock signal, generated locally. This is possible by adopting the paradigm of stochastic computation, where signal values are encoded as random bit streams. The design method is illustrated with the synthesis of circuits for applications in signal and image processing.",EE,['Engineering'],False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
carticle_0002292713,Pore network model of primary freeze drying,"The pore scale progression of the sublimation front during primary freeze drying depends on the local vapor transport and the local heat transfer as well. If the pore space is size distributed, vapor and heat transfer may spatially vary. Beyond that, the pore size distribution can substantially affect the physics of the transport mechanisms if they occur in a transitional regime. Exemplarily, if the critical mean free path is locally exceeded, the vapor transport regime passes from viscous flow to Knudsen diffusion. At the same time, the heat transfer is affected by the local ratio of pore space to the solid skeleton. The impact of the pore size distribution on the transitional vapor and heat transfer can be studied by pore scale models such as the pore network model. As a first approach, we present a pore network model with vapor transport in the transitional regime between Knudsen diffusion and viscous flow at constant temperature in the dry region. We demonstrate the impact of pore size distribution, temperature and pressure on the vapor transport regimes. Then we study on the example of a 2D square lattice, how the presence of micro and macro pores affects the macroscopic progression of the sublimation front.   Keywords: pore size distribution; transitional vapor transport; pore network model; fractured sublimation front.",,['Physics'],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
carticle_0003097292,"Performance of Chemiluminescent Microparticle Immunoassay in Screening for Syphilis in Pregnant Women from Low-Prevalence, Resource-Limited Setting.","Objective: This study evaluated the diagnostic performance of chemiluminescent microparticle immunoassay (CMIA) in screening for syphilis in Asian pregnant women. Material and Method: This study retrospectively reviewed the CMIA results of pregnant women attending the antenatal care clinic, King Chulalongkorn Memorial Hospital. Women with reactive CMIA results were extracted from the laboratory database and further analyzed. A reactive/positive result for Treponema pallidum was defined as having a sample/cut-off absorbance ratio of >1.0. Samples were also tested by rapid plasma reagin (RPR) and Treponema pallidum particle agglutination assay (TPPA). Results: From February 2011 to January 2013, a total of 11,640 pregnant women were tested and 65 women (0.56%) had reactive CMIA results. Among these cases, 58 women (89.2%) had non-reactive RPR results. TPPA were non-reactive in 35 women (60.3%) who had non-reactive RPR results. A total of 23 women (39.7%) with RPR non-reactive and TPPA reactive results; therefore, the prevalence rate of syphilis in this population was estimated as 1.98 per 1,000 pregnant women. Among this, 7 cases had a history of past, partial treatment for syphilis and 16 cases were considered as untreated, late, latent syphilis. If RPR tests were used as the screening test, 16/23 cases (69.6%) cases with untreated syphilis would be missed. Conclusion: Even though CMIA has high false positive results, however it is still recommended that this reverse sequence screening be used instead of the traditional algorithm. The rate of false positive results can be decreased by adjusting the sample/cut-off absorbance ratio of CMIA. Keywords: Chemiluminescent microparticle immunoassay, Pregnancy, Rapid plasma reagin, Syphilis screening, Treponema pallidum particle agglutination assay",,"['Biology', 'Medicine']",False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
carticle_0003322212,Reliability and Mean Residual Life of Complex Systems with Two Dependent Components Per Element,"The reliability and mean residual life of complex systems are discussed. These systems consist of $n$ elements each having two $s$-dependent subcomponents. The reliability of such systems involves the distributions of bivariate order statistics, and are connected with a bivariate binomial distribution. The mean residual life function of complex systems with intact components at time $t$ is also discussed. Some examples and graphical representations are given.",,['Mathematics'],False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
carticle_0003623344,Steady state boiling crisis in a helium vertically heated natural circulation loop - Part 2: Friction pressure drop lessening,"Experiments were conducted on a 2-m high two-phase helium natural circulation loop operating at 4.2 K and 1 atm. Two heated sections with different internal diameter (10 and 6 mm) were tested. The power applied on the heated section wall was controlled in increasing and decreasing sequences, and temperature along the section, mass flow rate and pressure drop evolutions were registered. The post-CHF regime was studied watching simultaneously the evolution of boiling crisis onset along the test section and the evolution of pressure drop and mass flow rate. A significant lessening of friction was observed simultaneous to the development of the post-CHF regime, accompanied by a mass flow rate increase, which lets suppose that the vapor film in the film boiling regime acts as a lubricant. A model was created based on this idea and on heat transfer considerations. The predictions by this model are satisfactory for the low quality post-CHF regime. (C) 2015 Elsevier Ltd. All rights reserved.",Also physics? Idk,"['Materials science', 'Engineering', 'Chemistry']",False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
carticle_0004057835,Patient preferences for the pharmacological treatment of osteoarthritis using adaptive choice-based conjoint (ACBC) analysis: A pilot study,"Background: Patient preferences for pharmaceutical treatment of osteoarthritis have been investigated using Conjoint Analysis. Studies have identified the importance of side effects in determining preferences, but noted that methodological limitations precluded further investigation of additional attributes such as hepatic and renal toxicity. Objective: Following on from a feasibility study of adaptive choice-based conjoint (ACBC) analysis, the aim of this study was to evaluate 8 medication attributes for the pharmaceutical treatment of osteoarthritis (OA). Setting and Participants : Eleven participants were recruited from members of a Research Users’ Group (RUG) who had been diagnosed with osteoarthritis. RUG members individually complete the ACBC task. Main outcome measures : The relative importance of each attribute and the utilities (part-worth) of each level of each attribute were estimated using ACBC built-in Hierarchical Bayes (HB). Results: The combined relative importance of the 4 risk side-effect attributes when selecting osteoarthritis medication (kidney and liver side effects, heart attack and stroke side effects, stomach side effects and addiction) was 66% while the effectiveness attribute accounted for 8% of the relative importance of the medication decision. Conclusions: In this study, the gap between relative importance of 4 side-effect attributes and expected benefit was 66% vs 8%. These preliminary findings indicate that OA patients are most concerned with the avoidance of adverse events and that there is a threshold above which expected benefit has little impact on patients’ medication preferences. The study highlights methodological features of ACBC that may be useful more generally in health services research, but the results must be interpreted in conjunction with the study limitations.",,"['Biology', 'Medicine']",False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
carticle_0004491885,Titanium( iv ) oxide having a copper co-catalyst: a new type of semihydrogenation photocatalyst working efficiently at an elevated temperature under hydrogen-free and poison-free conditions,"A copper-loaded titanium(IV) oxide photocatalyst exhibited perfect selectivity in hydrogenation of alkynes to alkenes in an alcohol solution at 298 K under hydrogen-free and poison-free conditions. A slight elevation in the reaction temperature to 323 K greatly increased the reaction rate with the selectivity being preserved and the formation of an H-2 by-product being suppressed. The apparent activation energy of 4-octyne semihydrogenation was determined to be 54 kJ mol(-1), indicating that the rate determining step of this photocatalytic reaction was not an electron production process but a thermocatalytic hydrogenation process under light irradiation.",https://en.wikipedia.org/wiki/Photocatalysis,['Chemistry'],False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
carticle_0004972191,Employment Psychological Problems and Adjustments of College Students Majoring in Electronic Information,"The employment of college students is related to a harmonious society. A series of problems caused by employment pressure have become the “bottleneck” restricting the development of campus security and harmony. This paper adopts literature, questionnaire and other research methods to analyzing the employment and psychological problems of college students majoring in electronic information. It is suggested that positive and targeted measures should be taken to help their employment.",,"['Psychology', 'Economics']",False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
