scholar_cat,top_field,n_mag,n_cset
eng_artificialintelligence,Computer science,0.8793544796883696,0.3842048697327947
eng_artificialintelligence,Mathematics,0.04490818030050083,0.1277285698402698
eng_artificialintelligence,Engineering,0.03444629938786867,0.03266871734054775
eng_artificialintelligence,Business,0.00816175106659247,0.013916169440017789
eng_artificialintelligence,Physics,0.0055091819699499165,0.008579475966349183
eng_artificialintelligence,Medicine,0.004674457429048414,0.009431864507282364
eng_artificialintelligence,Psychology,0.00456316082359488,0.013860578883000407
eng_artificialintelligence,Materials science,0.004526061955110369,0.007337953526294333
eng_artificialintelligence,Environmental science,0.0028937117417918755,0.0030389504502835118
eng_artificialintelligence,Biology,0.001762196253014283,0.27000333543342103
eng_artificialintelligence,Economics,0.0017065479502875163,0.08012452284771894
eng_artificialintelligence,Philosophy,0.0015396030421072158,0.001815958195901123
eng_artificialintelligence,Geology,0.0011686143572621035,0.007856798725123225
eng_artificialintelligence,Political science,0.001150064923019848,0.0003520735277767483
eng_artificialintelligence,Art,0.0010202188833240587,0.00718971204091465
eng_artificialintelligence,Sociology,0.0009089222778705249,0.01441648445317422
eng_artificialintelligence,Chemistry,0.0008347245409015025,0.004317533261683282
eng_artificialintelligence,Geography,0.0005193841587831571,0.009895119149093873
eng_artificialintelligence,History,0.0003524392506028566,0.003261312678353037
