scholar_cat,top_field_1,n_mag,n_cset
eng_artificialintelligence,Computer science,0.8794,0.6661
eng_artificialintelligence,Mathematics,0.0449,0.2187
eng_artificialintelligence,Engineering,0.0344,0.0273
eng_artificialintelligence,Business,0.0082,0.0083
eng_artificialintelligence,Physics,0.0055,0.0115
eng_artificialintelligence,Medicine,0.0047,0.0066
eng_artificialintelligence,Psychology,0.0046,0.0037
eng_artificialintelligence,Materials science,0.0045,0.0033
eng_artificialintelligence,Environmental science,0.0029,0.0031
eng_artificialintelligence,Biology,0.0018,0.0142
eng_artificialintelligence,Economics,0.0017,0.0139
eng_artificialintelligence,Philosophy,0.0015,0.0024
eng_artificialintelligence,Geology,0.0012,0.0037
eng_artificialintelligence,Political science,0.0012,0.0011
eng_artificialintelligence,Art,0.001,0.0029
eng_artificialintelligence,Sociology,0.0009,0.0064
eng_artificialintelligence,Chemistry,0.0008,0.0016
eng_artificialintelligence,Geography,0.0005,0.0051
eng_artificialintelligence,History,0.0004,0.0003
