,scholar_cat,journal_name,l1_k1,n,prop,total
154,bio_agronomycropscience,Industrial Crops and Products,Botany,34,0.23,151
155,bio_agronomycropscience,Industrial Crops and Products,Composite material,16,0.11,151
156,bio_agronomycropscience,Industrial Crops and Products,Biochemistry,15,0.10,151
157,bio_agronomycropscience,Industrial Crops and Products,Nuclear chemistry,14,0.09,151
158,bio_agronomycropscience,Industrial Crops and Products,Organic chemistry,7,0.05,151
159,bio_agronomycropscience,Industrial Crops and Products,Chromatography,5,0.03,151
160,bio_agronomycropscience,Industrial Crops and Products,Embedded system,5,0.03,151
161,bio_agronomycropscience,Industrial Crops and Products,Soil science,5,0.03,151
162,bio_agronomycropscience,Industrial Crops and Products,Biotechnology,4,0.03,151
163,bio_agronomycropscience,Industrial Crops and Products,Electrical engineering,3,0.02,151
164,bio_agronomycropscience,Industrial Crops and Products,Cell biology,3,0.02,151
165,bio_agronomycropscience,Industrial Crops and Products,Combinatorial chemistry,3,0.02,151
166,bio_agronomycropscience,Industrial Crops and Products,Operations management,2,0.01,151
167,bio_agronomycropscience,Industrial Crops and Products,Polymer chemistry,2,0.01,151
168,bio_agronomycropscience,Industrial Crops and Products,Pulp and paper industry,2,0.01,151
169,bio_agronomycropscience,Industrial Crops and Products,Geochemistry,2,0.01,151
170,bio_agronomycropscience,Industrial Crops and Products,Genetics,2,0.01,151
171,bio_agronomycropscience,Industrial Crops and Products,Water resource management,2,0.01,151
172,bio_agronomycropscience,Industrial Crops and Products,Agronomy,2,0.01,151
173,bio_agronomycropscience,Industrial Crops and Products,Analytical chemistry,2,0.01,151
174,bio_agronomycropscience,Industrial Crops and Products,Economic growth,1,0.01,151
175,bio_agronomycropscience,Industrial Crops and Products,Biochemical engineering,1,0.01,151
176,bio_agronomycropscience,Industrial Crops and Products,Waste management,1,0.01,151
177,bio_agronomycropscience,Industrial Crops and Products,Virology,1,0.01,151
178,bio_agronomycropscience,Industrial Crops and Products,Statistics,1,0.01,151
179,bio_agronomycropscience,Industrial Crops and Products,Polymer science,1,0.01,151
180,bio_agronomycropscience,Industrial Crops and Products,Ancient history,1,0.01,151
181,bio_agronomycropscience,Industrial Crops and Products,Pharmacology,1,0.01,151
182,bio_agronomycropscience,Industrial Crops and Products,Petroleum engineering,1,0.01,151
183,bio_agronomycropscience,Industrial Crops and Products,Ceramic materials,1,0.01,151
184,bio_agronomycropscience,Industrial Crops and Products,Ecology,1,0.01,151
185,bio_agronomycropscience,Industrial Crops and Products,Nuclear magnetic resonance,1,0.01,151
186,bio_agronomycropscience,Industrial Crops and Products,Chemical engineering,1,0.01,151
187,bio_agronomycropscience,Industrial Crops and Products,Nanotechnology,1,0.01,151
188,bio_agronomycropscience,Industrial Crops and Products,Mineralogy,1,0.01,151
189,bio_agronomycropscience,Industrial Crops and Products,Inorganic chemistry,1,0.01,151
190,bio_agronomycropscience,Industrial Crops and Products,Immunology,1,0.01,151
191,bio_agronomycropscience,Industrial Crops and Products,Computer vision,1,0.01,151
192,bio_agronomycropscience,Industrial Crops and Products,Crystallography,1,0.01,151
193,bio_agronomycropscience,Industrial Crops and Products,Agroforestry,1,0.01,151
194,bio_agronomycropscience,Industrial Crops and Products,Agricultural engineering,1,0.01,151
290,bio_agronomycropscience,Scientia Horticulturae,Botany,48,0.41,117
291,bio_agronomycropscience,Scientia Horticulturae,Genetics,14,0.12,117
292,bio_agronomycropscience,Scientia Horticulturae,Biochemistry,7,0.06,117
293,bio_agronomycropscience,Scientia Horticulturae,Agroforestry,6,0.05,117
294,bio_agronomycropscience,Scientia Horticulturae,Organic chemistry,5,0.04,117
295,bio_agronomycropscience,Scientia Horticulturae,Cell biology,4,0.03,117
296,bio_agronomycropscience,Scientia Horticulturae,Soil science,4,0.03,117
297,bio_agronomycropscience,Scientia Horticulturae,Operations management,4,0.03,117
298,bio_agronomycropscience,Scientia Horticulturae,Water resource management,4,0.03,117
299,bio_agronomycropscience,Scientia Horticulturae,Climatology,2,0.02,117
300,bio_agronomycropscience,Scientia Horticulturae,Molecular biology,2,0.02,117
301,bio_agronomycropscience,Scientia Horticulturae,Optics,2,0.02,117
302,bio_agronomycropscience,Scientia Horticulturae,Bioinformatics,2,0.02,117
303,bio_agronomycropscience,Scientia Horticulturae,Economic growth,2,0.02,117
304,bio_agronomycropscience,Scientia Horticulturae,Chromatography,1,0.01,117
305,bio_agronomycropscience,Scientia Horticulturae,Developmental psychology,1,0.01,117
306,bio_agronomycropscience,Scientia Horticulturae,Agronomy,1,0.01,117
307,bio_agronomycropscience,Scientia Horticulturae,Cartography,1,0.01,117
308,bio_agronomycropscience,Scientia Horticulturae,Horticulture,1,0.01,117
309,bio_agronomycropscience,Scientia Horticulturae,Media studies,1,0.01,117
310,bio_agronomycropscience,Scientia Horticulturae,Biotechnology,1,0.01,117
311,bio_agronomycropscience,Scientia Horticulturae,Paleontology,1,0.01,117
312,bio_agronomycropscience,Scientia Horticulturae,Pulp and paper industry,1,0.01,117
313,bio_agronomycropscience,Scientia Horticulturae,Anatomy,1,0.01,117
314,bio_agronomycropscience,Scientia Horticulturae,Transport engineering,1,0.01,117
333,bio_biotechnology,Applied Microbiology and Biotechnology,Biochemistry,37,0.27,136
334,bio_biotechnology,Applied Microbiology and Biotechnology,Molecular biology,16,0.12,136
335,bio_biotechnology,Applied Microbiology and Biotechnology,Cell biology,14,0.10,136
336,bio_biotechnology,Applied Microbiology and Biotechnology,Microbiology,8,0.06,136
337,bio_biotechnology,Applied Microbiology and Biotechnology,Genetics,7,0.05,136
338,bio_biotechnology,Applied Microbiology and Biotechnology,Combinatorial chemistry,7,0.05,136
339,bio_biotechnology,Applied Microbiology and Biotechnology,Bioinformatics,5,0.04,136
340,bio_biotechnology,Applied Microbiology and Biotechnology,Biotechnology,5,0.04,136
341,bio_biotechnology,Applied Microbiology and Biotechnology,Virology,5,0.04,136
342,bio_biotechnology,Applied Microbiology and Biotechnology,Chromatography,5,0.04,136
343,bio_biotechnology,Applied Microbiology and Biotechnology,Geochemistry,4,0.03,136
344,bio_biotechnology,Applied Microbiology and Biotechnology,Ecology,4,0.03,136
345,bio_biotechnology,Applied Microbiology and Biotechnology,Organic chemistry,3,0.02,136
346,bio_biotechnology,Applied Microbiology and Biotechnology,Pharmacology,2,0.01,136
347,bio_biotechnology,Applied Microbiology and Biotechnology,Agronomy,2,0.01,136
348,bio_biotechnology,Applied Microbiology and Biotechnology,Botany,2,0.01,136
349,bio_biotechnology,Applied Microbiology and Biotechnology,Biochemical engineering,1,0.01,136
350,bio_biotechnology,Applied Microbiology and Biotechnology,Environmental health,1,0.01,136
351,bio_biotechnology,Applied Microbiology and Biotechnology,Operations management,1,0.01,136
352,bio_biotechnology,Applied Microbiology and Biotechnology,Optics,1,0.01,136
353,bio_biotechnology,Applied Microbiology and Biotechnology,Economic growth,1,0.01,136
354,bio_biotechnology,Applied Microbiology and Biotechnology,Pathology,1,0.01,136
355,bio_biotechnology,Applied Microbiology and Biotechnology,Developmental psychology,1,0.01,136
356,bio_biotechnology,Applied Microbiology and Biotechnology,Radiochemistry,1,0.01,136
