scholar_name,mag_name,jw,qgram,scholar_cat
Social Anthropology,Social Anthropology,1,1,soc_anthropology
Social Anthropology,Visual Anthropology,0.91,0.75,soc_anthropology
Social Anthropology,Medical Anthropology,0.895,0.714,soc_anthropology
Medical Anthropology Quarterly,Medical Anthropology Quarterly,1,1,soc_anthropology
Medical Anthropology Quarterly,Medical Anthropology,0.933,0.677,soc_anthropology
Medical Anthropology Quarterly,Medical Anthropology Newsletter,0.912,0.719,soc_anthropology
Journal of the Royal Anthropological Institute,Journal of the Royal Anthropological Institute,1,1,soc_anthropology
Journal of the Royal Anthropological Institute,Journal of the Royal Sanitary Institute,0.929,0.681,soc_anthropology
Journal of the Royal Anthropological Institute,Journal of the Royal Aeronautical Society,0.909,0.617,soc_anthropology
Journal of Human Evolution,Journal of Human Evolution,1,1,soc_anthropology
Journal of Human Evolution,Journal of Human Virology,0.936,0.667,soc_anthropology
Journal of Human Evolution,Journal of Language Evolution,0.933,0.733,soc_anthropology
Journal of Anthropological Archaeology,Journal of Anthropological Archaeology,1,1,soc_anthropology
Journal of Anthropological Archaeology,Journal of Anthropological Research,0.939,0.769,soc_anthropology
Journal of Anthropological Archaeology,Journal of Anthropological Sciences,0.918,0.692,soc_anthropology
International Journal of Paleopathology,International Journal of Paleopathology,1,1,soc_anthropology
International Journal of Paleopathology,International journal of hepatology,0.962,0.8,soc_anthropology
International Journal of Paleopathology,International Journal of Ophthalmology,0.957,0.825,soc_anthropology
History and Anthropology,History and Anthropology,1,1,soc_anthropology
History and Anthropology,History and Technology,0.928,0.68,soc_anthropology
History and Anthropology,History and Theory,0.919,0.56,soc_anthropology
HAU: Journal of Ethnographic Theory,Hau: The Journal of Ethnographic Theory,0.905,0.9,soc_anthropology
HAU: Journal of Ethnographic Theory,AU Journal of Technology,0.814,0.472,soc_anthropology
HAU: Journal of Ethnographic Theory,Hans Journal of Agricultural Sciences,0.801,0.421,soc_anthropology
"Evolutionary Anthropology: Issues, News, and Reviews",Evolutionary Anthropology,0.896,0.472,soc_anthropology
"Evolutionary Anthropology: Issues, News, and Reviews",Evolutionary Ecology Research,0.853,0.377,soc_anthropology
"Evolutionary Anthropology: Issues, News, and Reviews",Evolutionary Behavioral Sciences,0.847,0.321,soc_anthropology
Ethnos,Ethnos,1,1,soc_anthropology
Ethnos,Ethos,0.961,0.714,soc_anthropology
Ethnos,Ethnohistory,0.9,0.385,soc_anthropology
Economics & Human Biology,Economics and Human Biology,0.945,0.857,soc_anthropology
Economics & Human Biology,Economics & Sociology,0.893,0.692,soc_anthropology
Economics & Human Biology,Economic Geology,0.887,0.5,soc_anthropology
Current Anthropology,Current Anthropology,1,1,soc_anthropology
Current Anthropology,Current Zoology,0.927,0.619,soc_anthropology
Current Anthropology,Current Oncology,0.924,0.619,soc_anthropology
Cultural Anthropology,Cultural Anthropology,1,1,soc_anthropology
Cultural Anthropology,Cultural Sociology,0.91,0.636,soc_anthropology
Cultural Anthropology,Cultural history,0.88,0.455,soc_anthropology
Anthropological Theory,Anthropological Theory,1,1,soc_anthropology
Anthropological Theory,Anthropological Forum,0.935,0.739,soc_anthropology
Anthropological Theory,Anthropological Quarterly,0.932,0.654,soc_anthropology
Annual Review of Anthropology,Annual Review of Anthropology,1,1,soc_anthropology
Annual Review of Anthropology,Annual Review of Entomology,0.958,0.767,soc_anthropology
Annual Review of Anthropology,Annual Review of Sociology,0.936,0.733,soc_anthropology
Annals of Human Biology,Annals of Human Biology,1,1,soc_anthropology
Annals of Human Biology,Annals of Biology,0.948,0.75,soc_anthropology
Annals of Human Biology,Annals of Hematology,0.937,0.708,soc_anthropology
American Journal of Physical Anthropology,American Journal of Physical Anthropology,1,1,soc_anthropology
