scholar_cat,l1_k1,n,prop
med_virology,Virology,157,0.36511627906976746
med_virology,Immunology,62,0.14418604651162792
med_virology,Cell biology,52,0.12093023255813953
med_virology,Genetics,13,0.030232558139534883
med_virology,Pediatrics,13,0.030232558139534883
med_virology,Gerontology,11,0.02558139534883721
med_virology,Molecular biology,11,0.02558139534883721
med_virology,Biochemistry,9,0.020930232558139535
med_virology,Demography,5,0.011627906976744186
med_virology,Developmental psychology,5,0.011627906976744186
med_virology,Intensive care medicine,5,0.011627906976744186
med_virology,Cancer research,4,0.009302325581395349
med_virology,Medical education,4,0.009302325581395349
med_virology,Obstetrics,4,0.009302325581395349
med_virology,Pathology,4,0.009302325581395349
med_virology,Bioinformatics,3,0.0069767441860465115
med_virology,Development economics,3,0.0069767441860465115
med_virology,Pharmacology,3,0.0069767441860465115
med_virology,Public administration,3,0.0069767441860465115
med_virology,Risk analysis (engineering),3,0.0069767441860465115
med_virology,Surgery,3,0.0069767441860465115
med_virology,Communication,2,0.004651162790697674
med_virology,Ecology,2,0.004651162790697674
med_virology,Economic growth,2,0.004651162790697674
med_virology,Family medicine,2,0.004651162790697674
med_virology,Nuclear physics,2,0.004651162790697674
med_virology,Real-time computing,2,0.004651162790697674
med_virology,Statistics,2,0.004651162790697674
med_virology,Anatomy,1,0.002325581395348837
med_virology,Animal science,1,0.002325581395348837
med_virology,Biophysics,1,0.002325581395348837
med_virology,Cardiology,1,0.002325581395348837
med_virology,Cartography,1,0.002325581395348837
med_virology,Chromatography,1,0.002325581395348837
med_virology,Clinical psychology,1,0.002325581395348837
med_virology,Combinatorial chemistry,1,0.002325581395348837
med_virology,Control theory,1,0.002325581395348837
med_virology,Data mining,1,0.002325581395348837
med_virology,Dentistry,1,0.002325581395348837
med_virology,Economic policy,1,0.002325581395348837
med_virology,Economic system,1,0.002325581395348837
med_virology,Emergency medicine,1,0.002325581395348837
med_virology,Environmental health,1,0.002325581395348837
med_virology,Environmental planning,1,0.002325581395348837
med_virology,Environmental resource management,1,0.002325581395348837
med_virology,Gender studies,1,0.002325581395348837
med_virology,Geometry,1,0.002325581395348837
med_virology,International economics,1,0.002325581395348837
med_virology,International trade,1,0.002325581395348837
med_virology,Knowledge management,1,0.002325581395348837
med_virology,Literature,1,0.002325581395348837
med_virology,Medicinal chemistry,1,0.002325581395348837
med_virology,Microeconomics,1,0.002325581395348837
med_virology,Molecular physics,1,0.002325581395348837
med_virology,Nuclear chemistry,1,0.002325581395348837
med_virology,Nuclear engineering,1,0.002325581395348837
med_virology,Operations management,1,0.002325581395348837
med_virology,Operations research,1,0.002325581395348837
med_virology,Ophthalmology,1,0.002325581395348837
med_virology,Pattern recognition,1,0.002325581395348837
med_virology,Public relations,1,0.002325581395348837
med_virology,Religious studies,1,0.002325581395348837
med_virology,Simulation,1,0.002325581395348837
med_virology,Social psychology,1,0.002325581395348837
med_virology,Topology,1,0.002325581395348837
med_virology,Traditional medicine,1,0.002325581395348837
med_virology,Veterinary medicine,1,0.002325581395348837
eng_libraryinformationscience,Social science,34,0.11333333333333333
eng_libraryinformationscience,Library science,18,0.06
eng_libraryinformationscience,Linguistics,13,0.043333333333333335
eng_libraryinformationscience,Literature,11,0.03666666666666667
eng_libraryinformationscience,Data science,9,0.03
eng_libraryinformationscience,Knowledge management,9,0.03
eng_libraryinformationscience,International economics,8,0.02666666666666667
eng_libraryinformationscience,Traditional medicine,8,0.02666666666666667
eng_libraryinformationscience,Computer network,7,0.023333333333333334
eng_libraryinformationscience,Media studies,7,0.023333333333333334
eng_libraryinformationscience,World Wide Web,7,0.023333333333333334
eng_libraryinformationscience,Development economics,6,0.02
eng_libraryinformationscience,Statistics,6,0.02
eng_libraryinformationscience,Developmental psychology,5,0.016666666666666666
eng_libraryinformationscience,Mathematical economics,5,0.016666666666666666
eng_libraryinformationscience,Art history,4,0.013333333333333334
eng_libraryinformationscience,Artificial intelligence,4,0.013333333333333334
eng_libraryinformationscience,Humanities,4,0.013333333333333334
eng_libraryinformationscience,Nanotechnology,4,0.013333333333333334
eng_libraryinformationscience,Operations research,4,0.013333333333333334
eng_libraryinformationscience,Aesthetics,3,0.01
eng_libraryinformationscience,Ancient history,3,0.01
eng_libraryinformationscience,Communication,3,0.01
eng_libraryinformationscience,Database,3,0.01
eng_libraryinformationscience,Economic history,3,0.01
eng_libraryinformationscience,Gender studies,3,0.01
eng_libraryinformationscience,Machine learning,3,0.01
eng_libraryinformationscience,Mathematical analysis,3,0.01
eng_libraryinformationscience,Multimedia,3,0.01
eng_libraryinformationscience,Pedagogy,3,0.01
eng_libraryinformationscience,Regional science,3,0.01
eng_libraryinformationscience,Social psychology,3,0.01
eng_libraryinformationscience,Systems engineering,3,0.01
eng_libraryinformationscience,Biomedical engineering,2,0.006666666666666667
eng_libraryinformationscience,Cancer research,2,0.006666666666666667
eng_libraryinformationscience,Classics,2,0.006666666666666667
eng_libraryinformationscience,Commerce,2,0.006666666666666667
eng_libraryinformationscience,Data mining,2,0.006666666666666667
eng_libraryinformationscience,Economic growth,2,0.006666666666666667
eng_libraryinformationscience,Economic policy,2,0.006666666666666667
eng_libraryinformationscience,Environmental health,2,0.006666666666666667
