parent_name	level	display_name	normalized_name	wiki_title	wiki_title_second	wiki_title_third
computer science	1	Algorithms	algorithms	Analysis of algorithms		
computer science	1	Artificial intelligence	artificial intelligence	Artificial intelligence		
computer science	1	Computational science	computational science	Computational science		
computer science	1	Computer architecture	computer architecture	Computer architecture		
computer science	1	Computer graphics	computer graphics	Computer graphics (computer science)		
computer science	1	Computer hardware	computer hardware	Computer hardware		
computer science	1	Computer networks	computer networks	Computer network		
computer science	1	Computer security	computer security	Computer security		
computer science	1	Databases	databases	Database theory		
computer science	1	Human–computer interaction	human–computer interaction	Human–computer interaction		
computer science	1	Library science	library science	Library science		
computer science	1	Operating systems	operating systems	Operating system		
computer science	1	Programming languages	programming languages	Programming language theory		
computer science	1	Computer simulation	computer simulation	Computer simulation		
computer science	1	Software engineering	software engineering	Software engineering		
computer science	1	Theoretical computer science	theoretical computer science	Theoretical computer science		
computer science	1	High-performance computing	high-performance computing	High-performance computing		
computer science	1	Quantum computing	quantum computing	Quantum computing		
biology	1	Astrobiology	astrobiology	Astrobiology		
biology	1	Biochemistry	biochemistry	Biochemistry		
biology	1	Bioinformatics	bioinformatics	Bioinformatics		
biology	1	Biophysics	biophysics	Biophysics		
biology	1	Biotechnology	biotechnology	Biotechnology		
biology	1	Botany	botany	Botany		
biology	1	Cancer research	cancer research	Cancer research		
biology	1	Cell biology	cell biology	Cell biology		
biology	1	Computational biology	computational biology	Computational biology		
biology	1	Ecology	ecology	Ecology		
biology	1	Evolutionary biology	evolutionary biology	Evolutionary biology		
biology	1	Genetics	genetics	Genetics		
biology	1	Immunology	immunology	Immunology		
biology	1	Microbiology	microbiology	Microbiology		
biology	1	Molecular biology	molecular biology	Molecular biology		
biology	1	Neuroscience	neuroscience	Neuroscience		
biology	1	Paleontology	paleontology	Paleontology		
biology	1	Pharmacology	pharmacology	Pharmacology		
biology	1	Physiology	physiology	Physiology		
biology	1	Toxicology	toxicology	Toxicology		
biology	1	Virology	virology	Virology		
biology	1	Cryobiology	cryobiology	Cryobiology		
biology	1	Developmental biology	developmental biology	Developmental Biology		
biology	1	Natural history	natural history	Natural history		
biology	1	Parasitology	parasitology	Parasitology		
biology	1	Photobiology	photobiology	Photobiology		
biology	1	Radiobiology	radiobiology	Radiobiology		
biology	1	Sociobiology	sociobiology	Sociobiology		
biology	1	Synthetic biology	synthetic biology	Synthetic biology		
biology	1	Systems biology	systems biology	Systems biology		
biology	1	Zoology	zoology	Zoology		
engineering	1	Semiconductors	semiconductors	Semiconductor		
artificial intelligence	2	Computer vision	computer vision	Computer vision		
artificial intelligence	2	Data mining	data mining	Data mining		
artificial intelligence	2	Data science	data science	Data science		
artificial intelligence	2	Information retrieval	information retrieval	Information retrieval		
artificial intelligence	2	Knowledge management	knowledge management	Knowledge management		
artificial intelligence	2	Machine learning	machine learning	Machine learning		
artificial intelligence	2	Natural language processing	natural language processing	Natural language processing		
artificial intelligence	2	Speech recognition	speech recognition	Speech recognition		
artificial intelligence	2	Robotics	robotics	Robotics		
